starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 13 23:33:01 2024	1713076381	0	8065	8065	5388
Sat Apr 13 23:33:18 2024	1713076398	0	8086	8087	4618
Sat Apr 13 23:30:45 2024	1713076245	11	8158	8169	7905
Sat Apr 13 23:32:33 2024	1713076353	0	8173	8173	4446
Sat Apr 13 23:32:34 2024	1713076354	0	8190	8190	7865
Sat Apr 13 23:31:51 2024	1713076311	0	8193	8193	8039
Sat Apr 13 23:33:01 2024	1713076381	0	8239	8239	8038
Sat Apr 13 23:32:32 2024	1713076352	1	8325	8326	8305
Sat Apr 13 23:32:32 2024	1713076352	0	8371	8371	4479
Sat Apr 13 23:30:45 2024	1713076245	11	8374	8385	8119
Sat Apr 13 23:32:48 2024	1713076368	0	8386	8387	6302
Sat Apr 13 23:33:29 2024	1713076409	0	8440	8440	8399
Sat Apr 13 23:32:38 2024	1713076358	0	8465	8465	4586
Sat Apr 13 23:33:23 2024	1713076403	1	8467	8467	4258
Sat Apr 13 23:31:45 2024	1713076305	0	8612	8612	2771
Sat Apr 13 23:33:29 2024	1713076409	0	8647	8648	8616
Sat Apr 13 23:30:45 2024	1713076245	10	8747	8756	8438
Sat Apr 13 23:33:16 2024	1713076396	0	8762	8762	6605
Sat Apr 13 23:33:29 2024	1713076409	1	8778	8778	8735
Sat Apr 13 23:33:29 2024	1713076409	1	8777	8779	8679
Sat Apr 13 23:32:55 2024	1713076375	1	8784	8785	8701
Sat Apr 13 23:30:45 2024	1713076245	10	8823	8833	8311
Sat Apr 13 23:32:45 2024	1713076365	0	8869	8869	8790
Sat Apr 13 23:33:18 2024	1713076398	0	8954	8955	8626
Sat Apr 13 23:30:45 2024	1713076245	11	8993	9004	8750
Sat Apr 13 23:31:54 2024	1713076314	0	9057	9057	3497
Sat Apr 13 23:33:28 2024	1713076408	0	9076	9077	4237
Sat Apr 13 23:30:45 2024	1713076245	9	9091	9101	8729
Sat Apr 13 23:30:45 2024	1713076245	11	9093	9103	8724
Sat Apr 13 23:33:15 2024	1713076395	0	9113	9113	7151
Sat Apr 13 23:31:42 2024	1713076302	0	9124	9124	4010
Sat Apr 13 23:31:50 2024	1713076310	0	9220	9220	4072
Sat Apr 13 23:32:29 2024	1713076349	0	9245	9245	4211
Sat Apr 13 23:31:36 2024	1713076296	0	9278	9278	9234
Sat Apr 13 23:31:52 2024	1713076312	1	9321	9321	8660
Sat Apr 13 23:33:07 2024	1713076387	4	9390	9394	9334
Sat Apr 13 23:33:25 2024	1713076405	1	9412	9412	9292
Sat Apr 13 23:32:27 2024	1713076347	0	9439	9440	3676
Sat Apr 13 23:33:10 2024	1713076390	0	9449	9449	6986
Sat Apr 13 23:32:44 2024	1713076364	0	9455	9455	6633
Sat Apr 13 23:32:58 2024	1713076378	0	9526	9526	6957
Sat Apr 13 23:30:45 2024	1713076245	11	9532	9543	9276
Sat Apr 13 23:30:45 2024	1713076245	11	9536	9547	9313
Sat Apr 13 23:31:53 2024	1713076313	0	9571	9572	9521
Sat Apr 13 23:31:45 2024	1713076305	0	9583	9584	4100
Sat Apr 13 23:31:45 2024	1713076305	0	9645	9646	3459
Sat Apr 13 23:32:25 2024	1713076345	2	9722	9724	9541
Sat Apr 13 23:31:52 2024	1713076312	1	9741	9742	4570
Sat Apr 13 23:31:39 2024	1713076299	0	9750	9750	3155
Sat Apr 13 23:30:45 2024	1713076245	11	9759	9769	9367
Sat Apr 13 23:33:13 2024	1713076393	0	9800	9800	7212
Sat Apr 13 23:30:45 2024	1713076245	11	9866	9877	9477
Sat Apr 13 23:30:45 2024	1713076245	11	9915	9925	9850
Sat Apr 13 23:31:48 2024	1713076308	0	9964	9965	4128
Sat Apr 13 23:33:28 2024	1713076408	0	10009	10010	6094
Sat Apr 13 23:33:27 2024	1713076407	0	10017	10018	9789
Sat Apr 13 23:33:17 2024	1713076397	1	10045	10046	9933
Sat Apr 13 23:33:13 2024	1713076393	0	10071	10072	7396
Sat Apr 13 23:32:45 2024	1713076365	0	10083	10083	6686
Sat Apr 13 23:33:28 2024	1713076408	0	10105	10106	10074
Sat Apr 13 23:33:04 2024	1713076384	0	10213	10213	9129
Sat Apr 13 23:31:41 2024	1713076301	0	10230	10230	4567
Sat Apr 13 23:33:10 2024	1713076390	0	10259	10259	10015
Sat Apr 13 23:32:24 2024	1713076344	0	10315	10315	5113
Sat Apr 13 23:30:45 2024	1713076245	11	10331	10342	5451
Sat Apr 13 23:30:45 2024	1713076245	12	10353	10365	4994
Sat Apr 13 23:33:05 2024	1713076385	0	10378	10378	10158
Sat Apr 13 23:33:27 2024	1713076407	0	10378	10379	10337
Sat Apr 13 23:31:19 2024	1713076279	1	10387	10387	10152
Sat Apr 13 23:33:10 2024	1713076390	0	10390	10390	7600
Sat Apr 13 23:33:08 2024	1713076388	0	10407	10408	8025
Sat Apr 13 23:33:06 2024	1713076386	0	10503	10504	10457
Sat Apr 13 23:33:27 2024	1713076407	0	10585	10586	6486
Sat Apr 13 23:32:06 2024	1713076326	0	10615	10615	3489
Sat Apr 13 23:33:18 2024	1713076398	1	10618	10619	10594
Sat Apr 13 23:33:09 2024	1713076389	0	10660	10660	8612
Sat Apr 13 23:33:11 2024	1713076391	0	10674	10674	8580
Sat Apr 13 23:31:32 2024	1713076292	0	10748	10748	10633
Sat Apr 13 23:33:27 2024	1713076407	1	10750	10750	10705
Sat Apr 13 23:33:04 2024	1713076384	0	10772	10772	8926
Sat Apr 13 23:33:19 2024	1713076399	0	10778	10779	10649
Sat Apr 13 23:33:00 2024	1713076380	0	10854	10854	10753
Sat Apr 13 23:31:28 2024	1713076288	0	10873	10873	10418
Sat Apr 13 23:33:04 2024	1713076384	0	10874	10875	9773
Sat Apr 13 23:31:40 2024	1713076300	0	10890	10890	5071
Sat Apr 13 23:32:26 2024	1713076346	0	10921	10921	4514
Sat Apr 13 23:30:45 2024	1713076245	11	10911	10922	10715
Sat Apr 13 23:32:25 2024	1713076345	0	10945	10946	5542
Sat Apr 13 23:33:11 2024	1713076391	0	10980	10981	8506
Sat Apr 13 23:31:54 2024	1713076314	0	10994	10994	4975
Sat Apr 13 23:30:45 2024	1713076245	12	10991	11002	5289
Sat Apr 13 23:31:29 2024	1713076289	0	11004	11004	10935
Sat Apr 13 23:32:18 2024	1713076338	0	11018	11018	3854
Sat Apr 13 23:31:55 2024	1713076315	0	11021	11021	4654
Sat Apr 13 23:33:26 2024	1713076406	1	11033	11034	11007
Sat Apr 13 23:33:08 2024	1713076388	0	11036	11036	8431
Sat Apr 13 23:31:59 2024	1713076319	0	11068	11068	10822
Sat Apr 13 23:33:25 2024	1713076405	0	11093	11093	6610
Sat Apr 13 23:33:10 2024	1713076390	0	11197	11197	8623
Sat Apr 13 23:32:26 2024	1713076346	0	11197	11197	11104
